fecha,usdmxn_fix,returns_usd_mxn
2024-08-23,19.0708,-0.018325303754527938
2024-08-26,19.382,0.016186430872018834
2024-08-27,19.6692,0.014709160188819174
2024-08-28,19.6037,-0.003335636570356515
2024-08-29,19.8168,0.010811738858370478
2024-08-30,19.6535,-0.008274623286533252
2024-09-02,19.798,0.007325482994957243
2024-09-03,19.8335,0.0017915047118953781
2024-09-04,19.846,0.0006300482825388125
2024-09-05,20.0028,0.00786978826285582
2024-09-06,20.0172,0.0007196402109673893
2024-09-09,19.8798,-0.006887763150223783
2024-09-10,20.0583,0.008938892364303314
2024-09-11,19.839,-0.010993335819317558
2024-09-12,19.5887,-0.012696827994086628
2024-09-13,19.2483,-0.017530124220773505
2024-09-17,19.267,0.0009710427528484058
2024-09-18,19.3033,0.0018822778519992027
2024-09-19,19.2773,-0.0013478278687243362
2024-09-20,19.3725,0.00492629677407011
2024-09-23,19.415,0.002191428527662444
2024-09-24,19.3562,-0.0030331815925699807
2024-09-25,19.587,0.011853299281545585
2024-09-26,19.629,0.00214198368310527
2024-09-27,19.6697,0.002071316076686258
2024-09-30,19.644,-0.0013074324553995777
2024-10-02,19.3885,-0.013091841378476276
2024-10-03,19.4678,0.004081711850961531
2024-10-04,19.2127,-0.01319029994955662
2024-10-07,19.3388,0.0065419218303879615
2024-10-08,19.3532,0.000744339949594272
2024-10-09,19.4175,0.0033169408317563127
2024-10-10,19.5113,0.004819063599664101
2024-10-11,19.3983,-0.005808351547659799
2024-10-14,19.342,-0.002906536068898276
2024-10-15,19.62,0.014270556842445622
2024-10-16,19.8925,0.01379332213233577
2024-10-17,19.9313,0.0019485841269243052
2024-10-18,19.8325,-0.004969354202456128
2024-10-21,20.0075,0.008785197065043375
2024-10-22,19.8985,-0.005462851254019734
2024-10-23,19.9338,0.0017724313806275044
2024-10-24,19.8385,-0.004792289225844852
2024-10-25,19.9303,0.004616692635981091
2024-10-28,20.0007,0.00352608614569711
2024-10-29,20.0208,0.001004460187148208
2024-10-30,20.1617,0.007013031916153283
2024-10-31,20.0378,-0.006164275293577914
2024-11-01,20.0908,0.0026415090891583554
2024-11-04,20.0367,-0.0026964068421072643
2024-11-05,20.2695,0.011551701165833584
2024-11-06,20.3093,0.001961616053817501
2024-11-07,19.8277,-0.023998959293088522
2024-11-08,20.1332,0.015290243809331897
2024-11-11,20.4502,0.015622468657913178
