date,title,summary,source,link,sentiment_score
2024-10-30 15:09:01,Peso toca su peor nivel en más de dos años,La depreciación de la moneda mexicana se da luego de que se diera a conocer el dato del PIB de México y de Estados Unidos al tercer trimestre.,expansion,https://expansion.mx/mercados/2024/10/30/peso-mexicano-a-dolar-hoy-30-octubre,0.0
2024-10-30 00:27:25,Tipo de cambio se mantiene en 20 pesos a la espera de la elección en EU,El mercado también se muestra cauteloso previo a la publicación del crecimiento económico tanto de México como de Estados Unidos al tercer trimestre.,expansion,https://expansion.mx/mercados/2024/10/29/precio-del-dolar-peso-mexicano-hoy-29-octubre,0.0
2024-10-29 18:28:16,Elección en EU puede mantener el tipo de cambio en 20 pesos,"La atención del mercado estará puesta en los últimos datos de las encuestas electorales en Estados Unidos, donde las apuestas dicen que Donald Trump puede volver a la Casa Blanca.",expansion,https://expansion.mx/mercados/2024/10/29/elecciones-eeuu-2024-tipo-cambio-28-octubre-1-noviembre,0.0
2024-10-29 15:20:43,Peso tiene ligero avance frente al dólar; siguen presiones al alza,"El mercado está a la espera de los datos económicos de México y Estados Unidos, así como al proceso electoral en Estados Unidos.",expansion,https://expansion.mx/mercados/2024/10/29/peso-mexicano-a-dolar-hoy-29-octubre,0.0
2024-10-28 23:21:41,Tipo de cambio cierra sesión  en 20 pesos por dólar,El mercado está atento a lo que suceda en la recta final de la elección en Estados Unidos y los datos del PIB estadounidense y de México esta semana.,expansion,https://expansion.mx/mercados/2024/10/28/peso-mexicano-se-mantiene-20-pesos-dolar,0.0
2024-10-28 15:03:00,El tipo de cambio alcanza los 20 pesos,"La moneda mexicana retrocede por el proceso electoral de Estados Unidos, en una semana en la que también se conocerá el reporte del PIB y la tasa de desempleo en México.",expansion,https://expansion.mx/mercados/2024/10/28/peso-mexicano-a-dolar-hoy-28-octubre,0.0
2024-10-25 21:39:55,Peso acumula tres semanas consecutivas de retroceso,"A pesar de la depreciación semanal, la moneda mexicana mostró un comportamiento lateral esta semana.",expansion,https://expansion.mx/mercados/2024/10/25/peso-mexicano-a-dolar-hoy-25-octubre,0.0
2024-10-25 17:31:15,Televisa cae en la Bolsa Mexicana tras salida de Emilio Azcárraga,Las acciones de la televisora más grande de México caen el la BMV luego de que su presidente ejecutivo tomará licencia a la espera de resultados de una investigación en EU relacionada con la FIFA.,expansion,https://expansion.mx/mercados/2024/10/25/acciones-de-televisa-se-desploman-bmv,-0.5
2024-10-24 21:36:35,Peso gana terreno frente al dólar y baja de 19.90,"El tipo de cambio mostró una apreciación de la moneda mexicana de 0.14%, aprovechando la debilidad global del dólar.",expansion,https://expansion.mx/mercados/2024/10/24/peso-gana-terreno-frente-al-dolar-y-baja-de-19-90,0.0
2024-10-24 21:19:49,Accionistas de Alfa aprueban escisión de Alpek,Alfa ha visto en parte golpeados sus resultados financieros recientes por un débil desempeño de Alpek,expansion,https://expansion.mx/mercados/2024/10/24/accionistas-de-alfa-aprueban-escision-de-alpek,-0.5
2024-10-24 14:50:58,Peso retrocede tras dato de inflación,El repunte de la inflación durante la primera quincena de noviembre puede anticipar un aumento de precios en los últimos meses del año y motivar a Banxico a un ciclo de recortes menos continuo.,expansion,https://expansion.mx/mercados/2024/10/24/peso-mexicano-a-dolar-hoy-24-de-octubre,0.0
2024-10-24 11:26:19,El índice del miedo pierde efectividad tras caída de mercados en Japón,"El FMI observó cómo se comportó el índice de volatilidad más popular y concluyó que, por su estructura, no reflejó lo que realmente pasó el lunes negro del 5 de agosto.",expansion,https://expansion.mx/mercados/2024/10/24/indice-del-miedo-vix-en-verdad-funciona,-0.5
2024-10-23 15:53:53,Las acciones de McDonald’s y Coca-Cola registran pérdidas,La cadena de comida rápida se desplomaba 6.1% tras una infección por E. coli que provocó una muerte y enfermó a decenas de personas.,expansion,https://expansion.mx/mercados/2024/10/23/wall-street-retrocede-acciones-mcdonalds-caen,0.0
